id,utterance,intent,entities,context,language,channel,sentiment,source
2091,requesting late checkout at 1pm,request_late_checkout,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",in_stay,en,web,neutral,synthetic_v1
2092,what's the meaning of life,unknown,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",general,en,phone,neutral,synthetic_v1
2093,early check-in around 11am?,request_early_checkin,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",pre_arrival,en,whatsapp,neutral,synthetic_v1
2094,when can I check in?,inquire_checkin_time,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",pre_booking,en,whatsapp,neutral,synthetic_v1
2095,tell me about suites,inquire_room_type,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",pre_booking,en,web,neutral,synthetic_v1
2096,I want to reserve king room 2026-09-10 - 2026-09-11 for 1 guests,make_reservation,"{""hotel_id"": ""HTL001"", ""check_in"": ""2026-09-10"", ""check_out"": ""2026-09-11"", ""nights"": 1, ""room_code"": ""DLX"", ""room_type"": ""Deluxe Room"", ""adults"": 1, ""children"": 0, ""guests_total"": 1, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": true, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": ""quiet side""}",booking,en,phone,positive,synthetic_v1
2097,"please make a booking 2026-01-13 for 2 nights, standard room",make_reservation,"{""hotel_id"": ""HTL001"", ""check_in"": ""2026-01-13"", ""check_out"": ""2026-01-15"", ""nights"": 2, ""room_code"": ""STD"", ""room_type"": ""Standard Room"", ""adults"": 2, ""children"": 1, ""guests_total"": 3, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": false, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": ""high floor""}",booking,en,phone,positive,synthetic_v1
2098,cancel my reservation c08fc702,cancel_reservation,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": ""c08fc702"", ""special_requests"": null}",post_booking,en,phone,negative,synthetic_v1
2099,price for family suite 2026-06-25 to 2026-06-27?,inquire_price,"{""hotel_id"": ""HTL001"", ""check_in"": ""2026-06-25"", ""check_out"": null, ""nights"": null, ""room_code"": ""FAM"", ""room_type"": ""Family Suite"", ""adults"": 3, ""children"": 2, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null, ""price_quote"": 251.85}",pre_booking,en,phone,neutral,synthetic_v1
2100,do you have pet?,inquire_amenities,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null, ""amenity"": ""pet""}",pre_booking,en,web,neutral,synthetic_v1
2101,yes,confirm,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",booking,en,app,positive,synthetic_v1
2102,do you have rooms 2026-05-26 to 2026-05-29?,inquire_availability,"{""hotel_id"": ""HTL001"", ""check_in"": ""2026-05-26"", ""check_out"": ""2026-05-29"", ""nights"": 3, ""room_code"": null, ""room_type"": ""Deluxe Room"", ""adults"": null, ""children"": 1, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",pre_booking,en,app,neutral,synthetic_v1
2103,do you offer parking?,inquire_parking,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",pre_booking,en,messenger,neutral,synthetic_v1
2104,change my dates to 2026-08-03 - 2026-08-07,change_dates,"{""hotel_id"": ""HTL001"", ""check_in"": ""2026-08-03"", ""check_out"": ""2026-08-07"", ""nights"": 4, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": ""425838e5"", ""special_requests"": null}",post_booking,en,web,neutral,synthetic_v1
2105,book a standard for 1 adults and 1 children from 2026-08-26 to 2026-09-02,make_reservation,"{""hotel_id"": ""HTL001"", ""check_in"": ""2026-08-26"", ""check_out"": ""2026-09-02"", ""nights"": 7, ""room_code"": ""STD"", ""room_type"": ""Standard Room"", ""adults"": 1, ""children"": 1, ""guests_total"": 2, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": true, ""parking_required"": true, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": ""quiet side""}",booking,en,messenger,positive,synthetic_v1
2106,make it 2 guests total,change_guest_count,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": 2, ""children"": 0, ""guests_total"": 2, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": ""29528f52"", ""special_requests"": null}",post_booking,en,whatsapp,neutral,synthetic_v1
2107,tell me about suites,inquire_room_type,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",pre_booking,en,web,neutral,synthetic_v1
2108,"please make a booking 2025-12-27 for 2 nights, ocean suite",make_reservation,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": ""2025-12-29"", ""nights"": 2, ""room_code"": ""STE"", ""room_type"": ""Ocean Suite"", ""adults"": 1, ""children"": 1, ""guests_total"": 2, ""name"": null, ""email"": ""sam.jackson542@yopmail.com"", ""phone"": ""+18539458111"", ""view"": null, ""breakfast_included"": true, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",booking,en,app,positive,synthetic_v1
2109,are ocean suites free between 2026-03-01 and 2026-03-07?,inquire_availability,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": ""2026-03-07"", ""nights"": 6, ""room_code"": ""STE"", ""room_type"": ""Ocean Suite"", ""adults"": 2, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",pre_booking,en,chat,neutral,synthetic_v1
2110,book a family room for 1 adults  from 2026-08-26 to 2026-08-29,make_reservation,"{""hotel_id"": ""HTL001"", ""check_in"": ""2026-08-26"", ""check_out"": ""2026-08-29"", ""nights"": 3, ""room_code"": null, ""room_type"": ""Family Suite"", ""adults"": 1, ""children"": 0, ""guests_total"": 1, ""name"": ""Casey Davis"", ""email"": ""casey.davis898@yopmail.com"", ""phone"": ""+16140386115"", ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": ""quiet side""}",booking,en,messenger,positive,synthetic_v1
2111,book a standard for 2 adults  from 2025-12-21 to 2025-12-25,make_reservation,"{""hotel_id"": ""HTL001"", ""check_in"": ""2025-12-21"", ""check_out"": ""2025-12-25"", ""nights"": 4, ""room_code"": null, ""room_type"": ""Standard Room"", ""adults"": 2, ""children"": 0, ""guests_total"": 2, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": false, ""parking_required"": true, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",booking,en,chat,positive,synthetic_v1
2112,please send an invoice,request_invoice,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",post_stay,en,chat,neutral,synthetic_v1
2113,cancel that,deny,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",booking,en,messenger,negative,synthetic_v1
2114,"please make a booking 2026-10-01 for 5 nights, deluxe room",make_reservation,"{""hotel_id"": ""HTL001"", ""check_in"": ""2026-10-01"", ""check_out"": ""2026-10-06"", ""nights"": 5, ""room_code"": ""DLX"", ""room_type"": ""Deluxe Room"", ""adults"": 2, ""children"": 1, ""guests_total"": 3, ""name"": ""Riley Thomas"", ""email"": ""riley.thomas616@mail.com"", ""phone"": ""+15496307098"", ""view"": null, ""breakfast_included"": true, ""parking_required"": true, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",booking,en,messenger,positive,synthetic_v1
2115,requesting late checkout at 1pm,request_late_checkout,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",in_stay,en,app,neutral,synthetic_v1
2116,what room types do you have?,inquire_room_type,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",pre_booking,en,web,neutral,synthetic_v1
2117,hi,greet,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",general,en,web,neutral,synthetic_v1
2118,early check-in around 11am?,request_early_checkin,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",pre_arrival,en,phone,neutral,synthetic_v1
2119,what's your cancellation policy?,inquire_cancellation_policy,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",pre_booking,en,phone,neutral,synthetic_v1
2120,can I bring my dog?,inquire_pet_policy,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",pre_booking,en,web,neutral,synthetic_v1
2121,what room types do you have?,inquire_room_type,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",pre_booking,en,whatsapp,neutral,synthetic_v1
2122,do you have family rooms?,inquire_room_type,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",pre_booking,en,web,neutral,synthetic_v1
2123,do you have rooms 2025-12-27 to 2025-12-31?,inquire_availability,"{""hotel_id"": ""HTL001"", ""check_in"": ""2025-12-27"", ""check_out"": ""2025-12-31"", ""nights"": 4, ""room_code"": ""STE"", ""room_type"": ""Ocean Suite"", ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",pre_booking,en,messenger,neutral,synthetic_v1
2124,please confirm,confirm,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",booking,en,app,positive,synthetic_v1
2125,price for king room 2026-06-02 to 2026-06-03?,inquire_price,"{""hotel_id"": ""HTL001"", ""check_in"": ""2026-06-02"", ""check_out"": ""2026-06-03"", ""nights"": null, ""room_code"": ""DLX"", ""room_type"": ""Deluxe Room"", ""adults"": 2, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null, ""price_quote"": 194.35}",pre_booking,en,whatsapp,neutral,synthetic_v1
2126,latest checkout time?,inquire_checkout_time,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",pre_booking,en,phone,neutral,synthetic_v1
2127,go ahead,confirm,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",booking,en,phone,positive,synthetic_v1
2128,book a twin room for 3 adults  from 2026-10-12 to 2026-10-19,make_reservation,"{""hotel_id"": ""HTL001"", ""check_in"": ""2026-10-12"", ""check_out"": null, ""nights"": 7, ""room_code"": ""DLX"", ""room_type"": ""Deluxe Room"", ""adults"": 3, ""children"": 0, ""guests_total"": 3, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": true, ""parking_required"": false, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",booking,en,whatsapp,positive,synthetic_v1
2129,need a room 2026-03-30 - 2026-04-06,inquire_availability,"{""hotel_id"": ""HTL001"", ""check_in"": ""2026-03-30"", ""check_out"": null, ""nights"": 7, ""room_code"": ""STE"", ""room_type"": null, ""adults"": 3, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",pre_booking,en,phone,neutral,synthetic_v1
2130,book a queen room for 1 adults and 1 children from 2026-01-30 to 2026-02-03,make_reservation,"{""hotel_id"": ""HTL001"", ""check_in"": ""2026-01-30"", ""check_out"": ""2026-02-03"", ""nights"": 4, ""room_code"": ""STD"", ""room_type"": ""Standard Room"", ""adults"": 1, ""children"": 1, ""guests_total"": 2, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": ""crib""}",booking,en,messenger,positive,synthetic_v1
2131,hey there,greet,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",general,en,whatsapp,neutral,synthetic_v1
2132,found hair in the bathroom,complaint_cleanliness,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",in_stay,en,whatsapp,negative,synthetic_v1
2133,book a family room for 2 adults and 1 children from 2026-02-16 to 2026-02-17,make_reservation,"{""hotel_id"": ""HTL001"", ""check_in"": ""2026-02-16"", ""check_out"": ""2026-02-17"", ""nights"": 1, ""room_code"": ""FAM"", ""room_type"": ""Family Suite"", ""adults"": 2, ""children"": 1, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": false, ""parking_required"": true, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": ""high floor""}",booking,en,phone,positive,synthetic_v1
2134,talk later,goodbye,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",general,en,whatsapp,neutral,synthetic_v1
2135,I want to reserve family room 2026-07-13 - 2026-07-17 for 3 guests,make_reservation,"{""hotel_id"": ""HTL001"", ""check_in"": ""2026-07-13"", ""check_out"": ""2026-07-17"", ""nights"": 4, ""room_code"": ""FAM"", ""room_type"": ""Family Suite"", ""adults"": 3, ""children"": 0, ""guests_total"": 3, ""name"": ""Elliot Rodriguez"", ""email"": ""elliot.rodriguez151@gmail.com"", ""phone"": ""+14048084698"", ""view"": null, ""breakfast_included"": true, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",booking,en,chat,positive,synthetic_v1
2136,book a standard room for 1 adults and 1 children from 2026-07-26 to 2026-07-30,make_reservation,"{""hotel_id"": ""HTL001"", ""check_in"": ""2026-07-26"", ""check_out"": ""2026-07-30"", ""nights"": 4, ""room_code"": ""STD"", ""room_type"": ""Standard Room"", ""adults"": 1, ""children"": 1, ""guests_total"": 2, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": true, ""parking_required"": false, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",booking,en,whatsapp,positive,synthetic_v1
2137,can I get late checkout?,request_late_checkout,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",in_stay,en,app,neutral,synthetic_v1
2138,hello,greet,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",general,en,messenger,neutral,synthetic_v1
2139,how late can I cancel?,inquire_cancellation_policy,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",pre_booking,en,whatsapp,neutral,synthetic_v1
2140,hey there,greet,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",general,en,app,neutral,synthetic_v1
2141,book a standard for 2 adults  from 2026-04-04 to 2026-04-08,make_reservation,"{""hotel_id"": ""HTL001"", ""check_in"": ""2026-04-04"", ""check_out"": ""2026-04-08"", ""nights"": 4, ""room_code"": ""STD"", ""room_type"": ""Standard Room"", ""adults"": 2, ""children"": 0, ""guests_total"": 2, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": false, ""parking_required"": false, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",booking,en,app,positive,synthetic_v1
2142,can I cancel for free?,inquire_cancellation_policy,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",pre_booking,en,app,neutral,synthetic_v1
2143,price for deluxe 2026-04-10 to 2026-04-14?,inquire_price,"{""hotel_id"": ""HTL001"", ""check_in"": ""2026-04-10"", ""check_out"": ""2026-04-14"", ""nights"": null, ""room_code"": ""DLX"", ""room_type"": ""Deluxe Room"", ""adults"": 2, ""children"": 1, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null, ""price_quote"": 189.0}",pre_booking,en,web,neutral,synthetic_v1
2144,need a room 2026-05-16 - 2026-05-21,inquire_availability,"{""hotel_id"": ""HTL001"", ""check_in"": ""2026-05-16"", ""check_out"": ""2026-05-21"", ""nights"": 5, ""room_code"": ""FAM"", ""room_type"": null, ""adults"": 3, ""children"": 1, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",pre_booking,en,messenger,neutral,synthetic_v1
2145,"thanks, bye",goodbye,"{""hotel_id"": ""HTL001"", ""check_in"": null, ""check_out"": null, ""nights"": null, ""room_code"": null, ""room_type"": null, ""adults"": null, ""children"": null, ""guests_total"": null, ""name"": null, ""email"": null, ""phone"": null, ""view"": null, ""breakfast_included"": null, ""parking_required"": null, ""pet_type"": null, ""promo_code"": null, ""payment_method"": null, ""reservation_id"": null, ""special_requests"": null}",general,en,phone,neutral,synthetic_v1
